//24/05/2025 21:00:34.990
688:ABN AMRO CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA:ABN:30/12/1899:1:
735:ICAP do Brasil CTVM LTDA:ICAP:30/12/1899:1:66,70
746:LEV DTVM LTDA:LEV:30/12/1899:1:66,70
833:Banco de Investimentos Credit Suisse (Brasil) S/A:Credit:30/12/1899:1:66,70
1026:Banco BTG Pactual S.A.:BTG:30/12/1899:1:66,70
1081:BANCOSEGURO S.A.:BANCOSEGURO:30/12/1899:1:66,70
1089:RB CAPITAL INVESTIMENTOS DTVM:RB Capital:30/12/1899:1:66,70
1099:INTER DTVM LTDA:Inter:30/12/1899:1:66,70
1130:STONEX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA:Stonex:30/12/1899:1:66,70
1618:IDEAL CTVM SA:Ideal:30/12/1899:1:66,70
1850:BANCO COOPERATIVO SICREDI S/A:Sicredi:30/12/1899:1:66,70
1855:VITREO DISTRIBUIDORA DE TITULOS VALORES MOBILIARIOS S.A.:Vitreo DTVM S.A.:30/12/1899:1:66,70
1953:Banco Cooperativo Sicoob SA:Sicoob:30/12/1899:1:66,70
1982:MODAL DTVM LTDA:Modal:30/12/1899:1:66,70
2028:Itau Unibanco S/A:Itau Unibanco:30/12/1899:1:66,70
2659:Banco do Brasil S.A.:BB:30/12/1899:1:66,70
3701:ORAMA DTVM S.A.:Orama:30/12/1899:1:66,70
4090:TORO CTVM S.A.:Toro:30/12/1899:1:66,70
6003:C6 CTVM LTDA:C6:30/12/1899:1:66,70
7029:LIGA INVEST DTVM LTDA:Liga:30/12/1899:1:66,70
7035:PAGINVEST CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA:PAGINVEST:30/12/1899:1:66,70
7078:SCOTIABANK BRASIL S.A. CTVM:SCOTIABANK:30/12/1899:1:66,70
811675:TC Traders Club SA:TC Traders Club SA:30/12/1899:1:66,70
